T	V	I_na	I_CaL	I_CaT	I_t	I_ss	I_f	I_k1	I_b	I_NaK	I_NCX	I_CaP	I_stim	I_f_K	I_f_Na	I_b_Na	I_b_Ca	I_b_K
0.77	-75.1509	-6.75388e-06	-9.13813e-06	-0.0279447	0.000289111	2.22345e-05	-3.29685e-05	0.0191682	-0.00492823	0.0175221	-0.00465172	0.00066778	0	8.8987e-06	-4.18672e-05	-0.00375841	-0.00151363	0.00034381
0.78	-75.1799	-6.69945e-06	-9.08715e-06	-0.0278484	0.000287304	2.20753e-05	-3.2969e-05	0.019093	-0.00493072	0.017513	-0.00465981	0.00066786	0	8.85262e-06	-4.18216e-05	-0.00375926	-0.00151394	0.00034248
0.79	-75.2088	-6.64591e-06	-9.03669e-06	-0.0277525	0.000285513	2.19179e-05	-3.29698e-05	0.0190179	-0.0049332	0.017504	-0.00466787	0.00066794	0	8.80695e-06	-4.17767e-05	-0.00376011	-0.00151425	0.000341156
0.8	-75.2375	-6.59323e-06	-8.98674e-06	-0.0276568	0.000283738	2.17621e-05	-3.29707e-05	0.0189429	-0.00493567	0.017495	-0.00467589	0.00066802	0	8.76168e-06	-4.17324e-05	-0.00376095	-0.00151456	0.000339838
0.81	-75.2661	-6.54139e-06	-8.93731e-06	-0.0275613	0.000281977	2.1608e-05	-3.2972e-05	0.0188682	-0.00493813	0.0174861	-0.00468388	0.000668098	0	8.7168e-06	-4.16888e-05	-0.00376179	-0.00151487	0.000338527
0.82	-75.2946	-6.49035e-06	-8.88837e-06	-0.0274662	0.000280232	2.14556e-05	-3.29734e-05	0.0187936	-0.00494058	0.0174772	-0.00469184	0.000668177	0	8.67231e-06	-4.16457e-05	-0.00376262	-0.00151518	0.000337222
0.83	-75.3229	-6.44009e-06	-8.83994e-06	-0.0273712	0.000278502	2.13048e-05	-3.29751e-05	0.0187191	-0.00494301	0.0174683	-0.00469976	0.000668255	0	8.62821e-06	-4.16033e-05	-0.00376345	-0.00151549	0.000335923
0.84	-75.3511	-6.39057e-06	-8.79199e-06	-0.0272766	0.000276787	2.11557e-05	-3.29771e-05	0.0186449	-0.00494544	0.0174595	-0.00470765	0.000668332	0	8.58449e-06	-4.15616e-05	-0.00376428	-0.00151579	0.00033463
0.85	-75.3791	-6.34178e-06	-8.74453e-06	-0.0271822	0.000275086	2.10081e-05	-3.29793e-05	0.0185708	-0.00494785	0.0174507	-0.0047155	0.00066841	0	8.54115e-06	-4.15204e-05	-0.0037651	-0.00151609	0.000333344
0.86	-75.4071	-6.29369e-06	-8.69754e-06	-0.027088	0.0002734	2.08621e-05	-3.29817e-05	0.0184968	-0.00495025	0.0174419	-0.00472333	0.000668486	0	8.49818e-06	-4.14799e-05	-0.00376592	-0.0015164	0.000332063
